intensity,class,expected_label,predicted_label,confidence,if_score,correct,explanation
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.933,0.5601,True,RF classifier: Port Scan (93% confidence) | IF score 56%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.979,0.5531,True,RF classifier: Port Scan (98% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.993,0.5531,True,RF classifier: Port Scan (99% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.749,0.5542,True,RF classifier: Port Scan (75% confidence) | next: SYN Flood (25%) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.996,0.5449,True,RF classifier: Port Scan (100% confidence) | IF score 54%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.92,0.5529,True,RF classifier: Port Scan (92% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.926,0.5507,True,RF classifier: Port Scan (93% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Suspicious Behavioral Traffic,0.0,0.5569,False,"IF score 56% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.962,0.5577,True,RF classifier: Port Scan (96% confidence) | IF score 56%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.889,0.5544,True,RF classifier: Port Scan (89% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.977,0.5577,True,RF classifier: Port Scan (98% confidence) | IF score 56%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.723,0.5523,True,RF classifier: Port Scan (72% confidence) | next: SYN Flood (27%) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.865,0.5603,True,RF classifier: Port Scan (86% confidence) | next: SYN Flood (12%) | IF score 56%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.967,0.549,True,RF classifier: Port Scan (97% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.893,0.5509,True,RF classifier: Port Scan (89% confidence) | IF score 55%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.88,0.3427,True,RF classifier: ICMP Flood (88% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.873,0.3381,True,RF classifier: ICMP Flood (87% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.957,0.3529,True,RF classifier: ICMP Flood (96% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.966,0.3513,True,RF classifier: ICMP Flood (97% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.973,0.3436,True,RF classifier: ICMP Flood (97% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.945,0.3414,True,RF classifier: ICMP Flood (94% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.866,0.3476,True,RF classifier: ICMP Flood (87% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.964,0.3476,True,RF classifier: ICMP Flood (96% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.947,0.3486,True,RF classifier: ICMP Flood (95% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.947,0.3459,True,RF classifier: ICMP Flood (95% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.93,0.3498,True,RF classifier: ICMP Flood (93% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.923,0.3471,True,RF classifier: ICMP Flood (92% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.959,0.3446,True,RF classifier: ICMP Flood (96% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.929,0.3474,True,RF classifier: ICMP Flood (93% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.952,0.3514,True,RF classifier: ICMP Flood (95% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.925,0.3339,True,RF classifier: ICMP Flood (93% confidence) | IF score 33%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.925,0.3477,True,RF classifier: ICMP Flood (93% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.896,0.3476,True,RF classifier: ICMP Flood (90% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.871,0.3549,True,RF classifier: ICMP Flood (87% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.953,0.3556,True,RF classifier: ICMP Flood (95% confidence) | IF score 36%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.939,0.3427,True,RF classifier: ICMP Flood (94% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.924,0.3497,True,RF classifier: ICMP Flood (92% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.963,0.34,True,RF classifier: ICMP Flood (96% confidence) | IF score 34%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.879,0.3456,True,RF classifier: ICMP Flood (88% confidence) | IF score 35%
strong,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.895,0.3449,True,RF classifier: ICMP Flood (89% confidence) | IF score 34%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.742,0.4315,True,RF classifier: UDP Flood (74% confidence) | next: BENIGN (19%) | IF score 43%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.93,0.4416,True,RF classifier: UDP Flood (93% confidence) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.853,0.4192,True,RF classifier: UDP Flood (85% confidence) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.786,0.4191,True,RF classifier: UDP Flood (79% confidence) | next: BENIGN (15%) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.908,0.4342,True,RF classifier: UDP Flood (91% confidence) | IF score 43%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.733,0.4242,True,RF classifier: UDP Flood (73% confidence) | next: BENIGN (20%) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Suspicious Behavioral Traffic,0.0,0.4327,False,"IF score 43% | elevated: udp_rate, unique_dst_ports, total_rate"
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.92,0.4329,True,RF classifier: UDP Flood (92% confidence) | IF score 43%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.815,0.4216,True,RF classifier: UDP Flood (82% confidence) | next: BENIGN (13%) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.863,0.4366,True,RF classifier: UDP Flood (86% confidence) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.801,0.4382,True,RF classifier: UDP Flood (80% confidence) | next: BENIGN (14%) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.916,0.4453,True,RF classifier: UDP Flood (92% confidence) | IF score 45%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.766,0.4353,True,RF classifier: UDP Flood (77% confidence) | next: BENIGN (17%) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.85,0.4364,True,RF classifier: UDP Flood (85% confidence) | next: BENIGN (11%) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.703,0.4209,True,RF classifier: UDP Flood (70% confidence) | next: BENIGN (22%) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.825,0.4186,True,RF classifier: UDP Flood (82% confidence) | next: BENIGN (15%) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Suspicious Behavioral Traffic,0.0,0.4281,False,"IF score 43% | elevated: udp_rate, unique_dst_ports, total_rate"
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.911,0.4237,True,RF classifier: UDP Flood (91% confidence) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.838,0.423,True,RF classifier: UDP Flood (84% confidence) | next: BENIGN (12%) | IF score 42%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.898,0.434,True,RF classifier: UDP Flood (90% confidence) | IF score 43%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.731,0.4263,True,RF classifier: UDP Flood (73% confidence) | next: BENIGN (20%) | IF score 43%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.737,0.439,True,RF classifier: UDP Flood (74% confidence) | next: BENIGN (19%) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.932,0.4371,True,RF classifier: UDP Flood (93% confidence) | IF score 44%
strong,UDP Flood,Likely UDP Flood,Likely UDP Flood,0.747,0.4313,True,RF classifier: UDP Flood (75% confidence) | next: BENIGN (20%) | IF score 43%
strong,UDP Flood,Likely UDP Flood,Suspicious Behavioral Traffic,0.0,0.4155,False,"IF score 42% | elevated: udp_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.989,0.5959,True,RF classifier: Connection Burst (99% confidence) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.847,0.6005,True,RF classifier: Connection Burst (85% confidence) | next: SYN Flood (11%) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.987,0.5917,True,RF classifier: Connection Burst (99% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.593,False,"IF score 59% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5777,False,"IF score 58% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.988,0.5986,True,RF classifier: Connection Burst (99% confidence) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.96,0.5837,True,RF classifier: Connection Burst (96% confidence) | IF score 58%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.948,0.5998,True,RF classifier: Connection Burst (95% confidence) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.957,0.5857,True,RF classifier: Connection Burst (96% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.864,0.5906,True,RF classifier: Connection Burst (86% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.957,0.5926,True,RF classifier: Connection Burst (96% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.96,0.595,True,RF classifier: Connection Burst (96% confidence) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.942,0.5892,True,RF classifier: Connection Burst (94% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.755,0.5926,True,RF classifier: Connection Burst (76% confidence) | next: SYN Flood (19%) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5889,False,"IF score 59% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5986,False,"IF score 60% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.98,0.6013,True,RF classifier: Connection Burst (98% confidence) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5959,False,"IF score 60% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.6007,False,"IF score 60% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.966,0.5942,True,RF classifier: Connection Burst (97% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5986,False,"IF score 60% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.968,0.5925,True,RF classifier: Connection Burst (97% confidence) | IF score 59%
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5966,False,"IF score 60% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Connection Burst,Likely Connection Burst,Likely Connection Burst,0.966,0.5953,True,RF classifier: Connection Burst (97% confidence) | IF score 60%
strong,Connection Burst,Likely Connection Burst,Suspicious Behavioral Traffic,0.0,0.5931,False,"IF score 59% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.852,0.5535,False,RF classifier: Port Scan (85% confidence) | next: SYN Flood (10%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.82,0.5507,False,RF classifier: Port Scan (82% confidence) | next: SYN Flood (11%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.751,0.5572,False,RF classifier: Port Scan (75% confidence) | next: SYN Flood (17%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.787,0.5493,False,RF classifier: Port Scan (79% confidence) | next: SYN Flood (11%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.827,0.5601,False,RF classifier: Port Scan (83% confidence) | next: SYN Flood (10%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.823,0.5554,False,RF classifier: Port Scan (82% confidence) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.81,0.5543,False,RF classifier: Port Scan (81% confidence) | next: SYN Flood (11%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.83,0.5549,False,RF classifier: Port Scan (83% confidence) | next: SYN Flood (11%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.815,0.5554,False,RF classifier: Port Scan (82% confidence) | next: SYN Flood (13%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.784,0.5499,False,RF classifier: Port Scan (78% confidence) | next: SYN Flood (13%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.82,0.5551,False,RF classifier: Port Scan (82% confidence) | next: SYN Flood (11%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.799,0.5541,False,RF classifier: Port Scan (80% confidence) | next: SYN Flood (11%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.806,0.5606,False,RF classifier: Port Scan (81% confidence) | next: SYN Flood (11%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.834,0.5588,False,RF classifier: Port Scan (83% confidence) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.793,0.556,False,RF classifier: Port Scan (79% confidence) | next: SYN Flood (13%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.801,0.5535,False,RF classifier: Port Scan (80% confidence) | next: SYN Flood (13%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.816,0.5525,False,RF classifier: Port Scan (82% confidence) | next: SYN Flood (12%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.827,0.5531,False,RF classifier: Port Scan (83% confidence) | next: SYN Flood (12%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.814,0.5535,False,RF classifier: Port Scan (81% confidence) | next: SYN Flood (12%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.831,0.55,False,RF classifier: Port Scan (83% confidence) | next: SYN Flood (10%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.833,0.5609,False,RF classifier: Port Scan (83% confidence) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.826,0.5576,False,RF classifier: Port Scan (83% confidence) | next: SYN Flood (11%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.808,0.5512,False,RF classifier: Port Scan (81% confidence) | next: SYN Flood (13%) | IF score 55%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.838,0.5559,False,RF classifier: Port Scan (84% confidence) | next: SYN Flood (11%) | IF score 56%
borderline,SYN Flood,Likely SYN Flood,Likely Port Scan,0.822,0.5451,False,RF classifier: Port Scan (82% confidence) | next: SYN Flood (10%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.764,0.5493,True,RF classifier: Port Scan (76% confidence) | next: SYN Flood (18%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.773,0.5537,True,RF classifier: Port Scan (77% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.754,0.5518,True,RF classifier: Port Scan (75% confidence) | next: SYN Flood (18%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.783,0.5512,True,RF classifier: Port Scan (78% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.772,0.5524,True,RF classifier: Port Scan (77% confidence) | next: SYN Flood (18%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.758,0.5493,True,RF classifier: Port Scan (76% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.752,0.5539,True,RF classifier: Port Scan (75% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.728,0.5506,True,RF classifier: Port Scan (73% confidence) | next: SYN Flood (20%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.806,0.5552,True,RF classifier: Port Scan (81% confidence) | next: SYN Flood (16%) | IF score 56%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.762,0.5512,True,RF classifier: Port Scan (76% confidence) | next: SYN Flood (18%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.787,0.5499,True,RF classifier: Port Scan (79% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.78,0.5552,True,RF classifier: Port Scan (78% confidence) | next: SYN Flood (17%) | IF score 56%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.734,0.5474,True,RF classifier: Port Scan (73% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.796,0.5559,True,RF classifier: Port Scan (80% confidence) | next: SYN Flood (16%) | IF score 56%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.728,0.5493,True,RF classifier: Port Scan (73% confidence) | next: SYN Flood (20%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.779,0.5537,True,RF classifier: Port Scan (78% confidence) | next: SYN Flood (16%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.831,0.5528,True,RF classifier: Port Scan (83% confidence) | next: SYN Flood (15%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.798,0.5531,True,RF classifier: Port Scan (80% confidence) | next: SYN Flood (16%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.763,0.5512,True,RF classifier: Port Scan (76% confidence) | next: SYN Flood (19%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.784,0.5507,True,RF classifier: Port Scan (78% confidence) | next: SYN Flood (17%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.774,0.556,True,RF classifier: Port Scan (77% confidence) | next: SYN Flood (17%) | IF score 56%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.77,0.5577,True,RF classifier: Port Scan (77% confidence) | next: SYN Flood (17%) | IF score 56%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.764,0.5499,True,RF classifier: Port Scan (76% confidence) | next: SYN Flood (18%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.736,0.5537,True,RF classifier: Port Scan (74% confidence) | next: SYN Flood (18%) | IF score 55%
borderline,Port Scan,Likely Port Scan,Likely Port Scan,0.774,0.5444,True,RF classifier: Port Scan (77% confidence) | next: SYN Flood (15%) | IF score 54%
borderline,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.78,0.3472,True,RF classifier: ICMP Flood (78% confidence) | IF score 35%
borderline,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.787,0.3507,True,RF classifier: ICMP Flood (79% confidence) | IF score 35%
borderline,ICMP Flood,Likely ICMP Flood,Suspicious Behavioral Traffic,0.0,0.3578,False,"IF score 36% | elevated: icmp_rate, udp_rate, total_rate"
borderline,ICMP Flood,Likely ICMP Flood,Suspicious Behavioral Traffic,0.0,0.3464,False,"IF score 35% | elevated: icmp_rate, udp_rate, total_rate"
borderline,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.795,0.3471,True,RF classifier: ICMP Flood (79% confidence) | IF score 35%
borderline,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.794,0.3556,True,RF classifier: ICMP Flood (79% confidence) | IF score 36%
borderline,ICMP Flood,Likely ICMP Flood,Suspicious Behavioral Traffic,0.0,0.3475,False,"IF score 35% | elevated: icmp_rate, udp_rate, total_rate"
borderline,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.786,0.3563,True,RF classifier: ICMP Flood (79% confidence) | IF score 36%
borderline,ICMP Flood,Likely ICMP Flood,Likely ICMP Flood,0.774,0.35,True,RF classifier: ICMP Flood (77% confidence) | IF score 35%
